Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
R105,1,15k,Widerstand 15k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0715KL,DigiKey,311-15.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-15.0KCRCT-ND,,
R107,1,330k,Widerstand 330k ±1% 0.125W 0805,0805,Yageo,RC0805FR-07330KL,DigiKey,311-330KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-330KCRCT-ND,,
R114,1,237k,Widerstand 237k ±1% 0.125W 0805,0805,Yageo,RC0805FR-07237KL,DigiKey,311-237KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-237KCRCT-ND,,
R115,1,56k2,Widerstand 56k2 ±1% 0.125W 0805,0805,Yageo,RC0805FR-0756K2L,DigiKey,311-56.2KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-56.2KCRCT-ND,,
R116,1,162k,Widerstand 162k ±1% 0.125W 0805,0805,Yageo,RC0805FR-07162KL,DigiKey,311-162KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-162KCRCT-ND,,
R117,1,53k6,Widerstand 53k6 ±1% 0.125W 0805,0805,Yageo,RC0805FR-0753K6L,DigiKey,311-53.6KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-53.6KCRCT-ND,,
R118,1,10k2,Widerstand 10k2 ±1% 0.125W 0805,0805,Yageo,RC0805FR-0710K2L,DigiKey,311-10.2KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-10.2KCRCT-ND,,
R119,1,13k,Widerstand 13k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0713KL,DigiKey,311-13.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-13.0KCRCT-ND,,
"R121,R57",2,2k2,Widerstand 2k2 ±1% 0.125W 0805,0805,Yageo,RC0805FR-072K2L,DigiKey,311-2.20KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-2.20KCRCT-ND,,
R125,1,2k,Widerstand 2k ±1% 0.125W 0805,0805,Yageo,RC0805FR-072KL,DigiKey,311-2.00KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-2.00KCRCT-ND,,
"R129,R130,R128,R127",4,RC0805FR-07100KL,Widerstand RC0805FR-07100KL ±1% 0.125W 0805,0805,Yageo,RC0805FR-07100KL,DigiKey,311-100KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-100KCRCT-ND,,
"R131,R132,R126",3,RC0805FR-071ML,Widerstand RC0805FR-071ML ±1% 0.125W 0805,0805,Yageo,RC0805FR-071ML,DigiKey,311-1.00MCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-1.00MCRCT-ND,,
U1,1,Teensy4.1,Teensy4.1,Teensy41,SparkFun (PJRC),DEV-16771,DigiKey,1568-16771-ND,https://www.digikey.de/de/products/result?keywords=1568-16771-ND,,
U2,1,W25Q32JVSS,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,Winbond,W25Q32RVCSJQ TR,DigiKey,256-W25Q32RVCSJQTR-ND,https://www.digikey.de/de/products/result?keywords=256-W25Q32RVCSJQTR-ND,,Nur ~39 St. bei DigiKey; Alternative W25Q32JVSSIQ via Mouser
U3,1,MCP2562-E-SN,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,Microchip Technology,MCP2562-E/SN,DigiKey,MCP2562-E/SN-ND,https://www.digikey.de/de/products/result?keywords=MCP2562-E/SN-ND,,
U4,1,74AHC1G32,74AHC1G32,SOT-353_SC-70-5,Texas Instruments,SN74AHC1G32DCKR,DigiKey,296-8749-1-ND,https://www.digikey.de/de/products/result?keywords=296-8749-1-ND,,
U5,1,ADXL343,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,Analog Devices,ADXL343BCCZ-RL,DigiKey,ADXL343BCCZ-RLCT-ND,https://www.digikey.de/de/products/result?keywords=ADXL343BCCZ-RLCT-ND,,
U6,1,USBLC6-2SC6,USBLC6-2SC6,SOT-23-6,STMicroelectronics,USBLC6-2SC6,DigiKey,497-5235-1-ND,https://www.digikey.de/de/products/result?keywords=497-5235-1-ND,,
U7,1,MC33810,MC33810,SOIC32-P0.65-33N,NXP,MCZ33810EK,DigiKey,MCZ33810EK-ND,https://www.digikey.de/de/products/result?keywords=MCZ33810EK-ND,,Last Time Buy 30.04.2027 - Bedarf sichern
U8,1,TPS3823-33DBV,TPS3823-33DBV,SOT-23-5,Texas Instruments,TPS3823-33DBVR,DigiKey,296-1357-1-ND,https://www.digikey.de/de/products/result?keywords=296-1357-1-ND,,
U9,1,74LVC1G00,74LVC1G00,SOT-353_SC-70-5,Texas Instruments,SN74LVC1G00DCKR,DigiKey,296-9846-1-ND,https://www.digikey.de/de/products/result?keywords=296-9846-1-ND,,
"U11,U10",2,LMV324,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,Texas Instruments,LMV324IDR,DigiKey,296-9569-1-ND,https://www.digikey.de/de/products/result?keywords=296-9569-1-ND,,
U12,1,DRV8434A,DRV8434A,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,Texas Instruments,DRV8434APWPR,DigiKey,296-DRV8434APWPRCT-ND,https://www.digikey.de/de/products/result?keywords=296-DRV8434APWPRCT-ND,,
"U13,U14",2,BTF3050TE,BTF3050TE,TO-252-5_TabPin3,Infineon,BTF3050TEATMA1,DigiKey,BTF3050TEATMA1CT-ND,https://www.digikey.de/de/products/result?keywords=BTF3050TEATMA1CT-ND,,
U15,1,LM74700-Q1,LM74700-Q1,SOT-23-6,Texas Instruments,LM74700QDBVRQ1,DigiKey,296-LM74700QDBVRQ1CT-ND,https://www.digikey.de/de/products/result?keywords=296-LM74700QDBVRQ1CT-ND,,
U16,1,TPS54360B-Q1,TPS54360B-Q1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,Texas Instruments,TPS54360BQDDARQ1,DigiKey,296-46985-1-ND,https://www.digikey.de/de/products/result?keywords=296-46985-1-ND,,
U17,1,TPS7B6950-Q1,TPS7B6950-Q1,SOT-223-3_TabPin2,Texas Instruments,TPS7B6950QDCYRQ1,DigiKey,296-40985-1-ND,https://www.digikey.de/de/products/result?keywords=296-40985-1-ND,,
U18,1,74LVC1G125,74LVC1G125,SOT-353_SC-70-5,Texas Instruments,SN74LVC1G125DCKR,DigiKey,296-11604-1-ND,https://www.digikey.de/de/products/result?keywords=296-11604-1-ND,,
Y1,1,CSTCR4M00G53-R0,CSTCR4M00G53-R0,Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm,Murata,CSTCR4M00G53-R0,DigiKey,490-1200-1-ND,https://www.digikey.de/de/products/result?keywords=490-1200-1-ND,,
