Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,Mouser,MO_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"R89,R80,R79,R78,R81,R71,R74,R73,R8,R5,R4,R3,R2,R123,R35,R34,R31,R32,R33,R27,R106,R110,R113,R111",24,10k,0805,RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,,,
R90,1,5k6,0805,RC0805FR-075K6L,Yageo,311-5.60KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-5.60KCRCT-ND,,,
R91,1,1M,0805,RC0805FR-071ML,Yageo,311-1.00MCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1.00MCRCT-ND,,,
R105,1,15k,0805,RC0805FR-0715KL,Yageo,311-15.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-15.0KCRCT-ND,,,
R107,1,330k,0805,RC0805FR-07330KL,Yageo,311-330KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-330KCRCT-ND,,,
R114,1,237k,0805,RC0805FR-07237KL,Yageo,311-237KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-237KCRCT-ND,,,
R115,1,56k2,0805,RC0805FR-0756K2L,Yageo,311-56.2KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-56.2KCRCT-ND,,,
R116,1,162k,0805,RC0805FR-07162KL,Yageo,311-162KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-162KCRCT-ND,,,
R117,1,53k6,0805,RC0805FR-0753K6L,Yageo,311-53.6KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-53.6KCRCT-ND,,,
R118,1,10k2,0805,RC0805FR-0710K2L,Yageo,311-10.2KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-10.2KCRCT-ND,,,
R119,1,13k,0805,RC0805FR-0713KL,Yageo,311-13.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-13.0KCRCT-ND,,,
"R121,R57",2,2k2,0805,RC0805FR-072K2L,Yageo,311-2.20KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-2.20KCRCT-ND,,,
R125,1,2k,0805,RC0805FR-072KL,Yageo,311-2.00KCRCT-ND,,603-RC0805FR-072KL,,DigiKey,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,
"R129,R130,R128,R127",4,RC0805FR-07100KL,0805,RC0805FR-07100KL,Yageo,311-100KCRCT-ND,,603-RC0805FR-07100KL,,DigiKey,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,
"R131,R132,R126",3,RC0805FR-071ML,0805,RC0805FR-071ML,Yageo,311-1.00MCRCT-ND,,603-RC0805FR-071ML,,DigiKey,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,,,
U1,1,Teensy4.1,Teensy41,DEV-16771,SparkFun (PJRC),1568-16771-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=1568-16771-ND,,,
U2,1,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,W25Q32RVCSJQ TR,Winbond,256-W25Q32RVCSJQTR-ND,,,,DigiKey,http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf,,,Nur ~39 St. bei DigiKey; Alternative W25Q32JVSSIQ via Mouser
U3,1,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,MCP2562-E/SN,Microchip Technology,MCP2562-E/SN-ND,,,,DigiKey,http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf,,,
U4,1,74AHC1G32,SOT-353_SC-70-5,SN74AHC1G32DCKR,Texas Instruments,296-8749-1-ND,,,,DigiKey,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf,,,
U5,1,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,ADXL343BCCZ-RL,Analog Devices,ADXL343BCCZ-RLCT-ND,,,,DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf,,,
U6,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,STMicroelectronics,497-5235-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=497-5235-1-ND,,,
U7,1,MC33810,SOIC32-P0.65-33N,MCZ33810EK,NXP,MCZ33810EK-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=MCZ33810EK-ND,,,Last Time Buy 30.04.2027 - Bedarf sichern
U8,1,TPS3823-33DBV,SOT-23-5,TPS3823-33DBVR,Texas Instruments,296-1357-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-1357-1-ND,,,
U9,1,74LVC1G00,SOT-353_SC-70-5,SN74LVC1G00DCKR,Texas Instruments,296-9846-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-9846-1-ND,,,
"U11,U10",2,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,LMV324IDR,Texas Instruments,296-9569-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-9569-1-ND,,,
U12,1,DRV8434A,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,DRV8434APWPR,Texas Instruments,296-DRV8434APWPRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-DRV8434APWPRCT-ND,,,
"U13,U14",2,BTF3050TE,TO-252-5_TabPin3,BTF3050TEATMA1,Infineon,BTF3050TEATMA1CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=BTF3050TEATMA1CT-ND,,,
U15,1,LM74700-Q1,SOT-23-6,LM74700QDBVRQ1,Texas Instruments,296-LM74700QDBVRQ1CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-LM74700QDBVRQ1CT-ND,,,
U16,1,TPS54360B-Q1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,TPS54360BQDDARQ1,Texas Instruments,296-46985-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-46985-1-ND,,,
U17,1,TPS7B6950-Q1,SOT-223-3_TabPin2,TPS7B6950QDCYRQ1,Texas Instruments,296-40985-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-40985-1-ND,,,
U18,1,74LVC1G125,SOT-353_SC-70-5,SN74LVC1G125DCKR,Texas Instruments,296-11604-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-11604-1-ND,,,
Y1,1,CSTCR4M00G53-R0,Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm,CSTCR4M00G53-R0,Murata,490-1200-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=490-1200-1-ND,,,
