Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
IC1,126.000mm,-75.000mm,Top,0.000000,QSOP-16_3.9x4.9mm_P0.635mm,MAX9926UAEE_V+
IC2,189.765mm,-123.388mm,Top,-90.000000,SOT153P700X170-8N,ZXMS6006DT8
IC3,183.000mm,-114.500mm,Top,0.000000,SOT153P700X170-8N,ZXMS6006DT8
IC4,181.265mm,-123.388mm,Top,-90.000000,SOT153P700X170-8N,ZXMS6006DT8
IC5,77.000mm,-119.500mm,Top,90.000000,SOT-223-3_TabPin2,LD1117S33
IC6,155.500mm,-119.500mm,Top,0.000000,TSSOP-14_4.4x5mm_P0.65mm,74AHCT125T14-13
IC7,158.000mm,-108.500mm,Top,0.000000,SOIC-20W_7.5x12.8mm_P1.27mm,TPIC8101DW
J1,127.000mm,-80.190mm,Top,0.000000,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04
J2,206.000mm,-36.500mm,Top,180.000000,6437288-3,~
L1,74.500mm,-104.500mm,Top,0.000000,L_Bourns_SRR1260,10uH / 3.3A
L2,100.500mm,-120.000mm,Top,0.000000,L_Bourns_SRR1260,8.2uH / 5A
NT1,172.500mm,-76.000mm,Top,0.000000,NetTie-2_SMD_Pad0.5mm,NetTie_2
NT2,169.500mm,-75.000mm,Top,0.000000,NetTie-2_SMD_Pad0.5mm,NetTie_2
Q1,196.100mm,-60.135mm,Top,90.000000,TO254P470X1016X2019-3P,ISL9V5036P3-F085
Q2,201.200mm,-60.135mm,Top,90.000000,TO254P470X1016X2019-3P,ISL9V5036P3-F085
Q3,191.000mm,-60.135mm,Top,90.000000,TO254P470X1016X2019-3P,ISL9V5036P3-F085
Q4,206.300mm,-60.135mm,Top,90.000000,TO254P470X1016X2019-3P,ISL9V5036P3-F085
Q5,175.000mm,-124.500mm,Top,0.000000,SOT-23,BSS138
Q6,88.000mm,-101.500mm,Top,90.000000,TO-263-2,SQM120N06-3M5L
R1,143.500mm,-78.412mm,Top,90.000000,R_0805_2012Metric,1k
R2,128.000mm,-102.000mm,Top,90.000000,R_0805_2012Metric,10k
R3,113.276mm,-83.711mm,Top,180.000000,R_0805_2012Metric,10k
R4,169.986mm,-100.588mm,Top,0.000000,R_0805_2012Metric,10k
R5,151.099mm,-94.883mm,Top,0.000000,R_0805_2012Metric,10k
R6,175.000mm,-54.000mm,Top,90.000000,R_0805_2012Metric,60.4R
R7,185.500mm,-68.500mm,Top,0.000000,R_0805_2012Metric,60.4R
R8,128.000mm,-107.000mm,Top,90.000000,R_0805_2012Metric,10k
R9,147.241mm,-52.991mm,Top,0.000000,R_0805_2012Metric,0R DNP
R10,155.118mm,-52.844mm,Top,0.000000,R_0805_2012Metric,0R DNP
R11,138.644mm,-56.250mm,Top,0.000000,R_0805_2012Metric,0R
R12,149.402mm,-78.296mm,Top,0.000000,R_0805_2012Metric,470R
R13,142.652mm,-57.269mm,Top,0.000000,R_0805_2012Metric,0R
