Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
65,1,R30,WSL2512R0200FEA,Vishay Dale,Shunt 20m ±1% 1W 2512,2512,SMD,DigiKey,WSLG-.02CT-ND,
66,8,"R42,R45,R38,R36,R44,R39,R43,R37",RC1206FR-0718KL,Yageo,Widerstand 18k ±1% 0.25W 1206,1206,SMD,DigiKey,311-18.0KFRCT-ND,
67,4,"R46,R49,R48,R47",RC0805FR-074K02L,Yageo,Widerstand 4.02k ±1% 0.125W 0805,0805,SMD,DigiKey,311-4.02KCRCT-ND,
68,10,"R50,R104,R99,R100,R103,R101,R112,R108,R109,R102",RC0805FR-07100KL,Yageo,Widerstand 100k ±1% 0.125W 0805,0805,SMD,DigiKey,311-100KCRCT-ND,
69,2,"R56,R55",RC0805FR-072K49L,Yageo,Widerstand 2k49 ±1% 0.125W 0805,0805,SMD,DigiKey,311-2.49KCRCT-ND,
70,1,R72,RC0805FR-0747KL,Yageo,Widerstand 47k ±1% 0.125W 0805,0805,SMD,DigiKey,311-47.0KCRCT-ND,
71,7,"R83,R87,R88,R82,R66,R64,R65",RC0805FR-0712KL,Yageo,Widerstand 12k ±1% 0.125W 0805,0805,SMD,DigiKey,311-12.0KCRCT-ND,
72,5,"R84,R85,R67,R69,R68",RC0805FR-0720KL,Yageo,Widerstand 20k ±1% 0.125W 0805,0805,SMD,DigiKey,311-20.0KCRCT-ND,
73,12,"R86,R77,R76,R120,R12,R14,R61,R60,R62,R58,R59,R70",RC0805FR-07470RL,Yageo,Widerstand 470R ±1% 0.125W 0805,0805,SMD,DigiKey,311-470CRCT-ND,
74,24,"R89,R80,R79,R78,R81,R71,R74,R73,R8,R5,R4,R3,R2,R123,R35,R34,R31,R32,R33,R27,R106,R110,R113,R111",RC0805FR-0710KL,Yageo,Widerstand 10k ±1% 0.125W 0805,0805,SMD,DigiKey,311-10.0KCRCT-ND,
75,1,R90,RC0805FR-075K6L,Yageo,Widerstand 5k6 ±1% 0.125W 0805,0805,SMD,DigiKey,311-5.60KCRCT-ND,
76,1,R91,RC0805FR-071ML,Yageo,Widerstand 1M ±1% 0.125W 0805,0805,SMD,DigiKey,311-1.00MCRCT-ND,
77,1,R105,RC0805FR-0715KL,Yageo,Widerstand 15k ±1% 0.125W 0805,0805,SMD,DigiKey,311-15.0KCRCT-ND,
78,1,R107,RC0805FR-07330KL,Yageo,Widerstand 330k ±1% 0.125W 0805,0805,SMD,DigiKey,311-330KCRCT-ND,
79,1,R114,RC0805FR-07237KL,Yageo,Widerstand 237k ±1% 0.125W 0805,0805,SMD,DigiKey,311-237KCRCT-ND,
80,1,R115,RC0805FR-0756K2L,Yageo,Widerstand 56k2 ±1% 0.125W 0805,0805,SMD,DigiKey,311-56.2KCRCT-ND,
81,1,R116,RC0805FR-07162KL,Yageo,Widerstand 162k ±1% 0.125W 0805,0805,SMD,DigiKey,311-162KCRCT-ND,
82,1,R117,RC0805FR-0753K6L,Yageo,Widerstand 53k6 ±1% 0.125W 0805,0805,SMD,DigiKey,311-53.6KCRCT-ND,
83,1,R118,RC0805FR-0710K2L,Yageo,Widerstand 10k2 ±1% 0.125W 0805,0805,SMD,DigiKey,311-10.2KCRCT-ND,
84,1,R119,RC0805FR-0713KL,Yageo,Widerstand 13k ±1% 0.125W 0805,0805,SMD,DigiKey,311-13.0KCRCT-ND,
85,2,"R121,R57",RC0805FR-072K2L,Yageo,Widerstand 2k2 ±1% 0.125W 0805,0805,SMD,DigiKey,311-2.20KCRCT-ND,
86,1,R125,RC0805FR-072KL,Yageo,Widerstand 2k ±1% 0.125W 0805,0805,SMD,DigiKey,311-2.00KCRCT-ND,
87,4,"R129,R130,R128,R127",RC0805FR-07100KL,Yageo,Widerstand RC0805FR-07100KL ±1% 0.125W 0805,0805,SMD,DigiKey,311-100KCRCT-ND,
